Title,Title_link,brand-title,comment-star__count,Price,brand-variants,DetailPrice,OriginalPrice,Field1,Field2,Field3,Field4
Gokuri Peach Drink 400ml,https://www.yamibuy.com/en/p/suntory-gokuri-peach-drink-400ml/1020017131,SUNTORY,55,$2.99,,,,55,Japan,Japan,4.7
Micro-bubble water mojito 500ml,https://www.yamibuy.com/en/p/kenlib-micro-bubble-water-mojito-500ml/1020041521,KENLIB,23,$1.99,,,,23,,China,4.6
Prebiotic Soda Raspberry Rose 340g,https://www.yamibuy.com/en/p/prebiotic-soda-raspberry-rose-340g/1020058081,POPPI,2,$3.09,,,,2,,United States,5
Oolong Tea 550ml,https://www.yamibuy.com/en/p/master-kong-oolong-tea-550ml/1020005111,MASTER KONG,12,$1.49,11 Options,,,12,China,China,4.6
Yuzu Lemon Drink280ml,https://www.yamibuy.com/en/p/dydo-wakagokochi-yuzu-lemon-280ml/1020044561,DYDO,14,$2.09,,,,14,,Japan,4.8
Sugarcane&Water Chestnut Drink 500ml,https://www.yamibuy.com/en/p/master-kong-sugarcane-water-chestnut-drink-500ml/1020008971,MASTER KONG,13,$1.49,,,,13,China,China,3.8
Sparking Water Peach Blossom Flavor  275ml,https://www.yamibuy.com/en/p/sparking-water-peach-blossom-pear-275ml/1020051991,HANKOW,4,$2.69,6 Options,,,4,Peach Blossom-Pear,China,5
Khanh Hoa Bir's Nest Drink No Sugar Can 190ml,https://www.yamibuy.com/en/p/khanh-hoa-bir-s-nest-drink-no-sugar-can-190ml/1020061621,SANEST,5,$1.59,,,,5,,Vietnam,4.6
Mitsuya Apple Mango Mix Drink 500ml,https://www.yamibuy.com/en/p/asahi-mitsuya-torokeru-mango-mix/1020039881,ASAHI,12,$2.49,,,,12,,Japan,4.8
Lacto Fermented Probiotic Lemon Soda 350ml,https://www.yamibuy.com/en/p/itoen-lemon-lactobacillus-soda-350ml/1020043791,ITO EN,13,$2.59,,,,13,,Japan,4.5
Passion Fruit Flavored Drink With Nata De COCO 320ml,https://www.yamibuy.com/en/p/mogu-mogu-passion-fruit-flavored-drink-with-nata-de-coco-320ml/1020013151,MOGU MOGU,4,$1.19,14 Options,,,4,Thailand,Thailand,4.8
Demi Soda Apple Flavor 250ml,https://www.yamibuy.com/en/p/dong-a-demi-soda-apple-250ml/1020040621,DONG-A,12,$1.29,,,,12,,Korea,4.7
Sword Bean Tea Drink 500ml,https://www.yamibuy.com/en/p/sword-bean-tea-500ml/1020039011,LOTTE Korea,11,$1.79,6 Options,,,11,Sword Bean Tea,Korea,4.9
Hand Fruit Tea Pineapple Lemon 100g【Use by  4/17/2021 】,https://www.yamibuy.com/en/p/mmd-hand-fruit-tea-pineapple-lemon-100g/1020046101,MMD,13,$2.49,2 Options,,,13,Pineapple Lemon,China,4.5
Natural Water Sparkling Lemon 500ml,https://www.yamibuy.com/en/p/suntory-tennensui-sparkling-lemon/1020035811,SUNTORY,11,$2.09,,,,11,,Japan,4.8
Soda Pear Flavor (Glass Bottle) 330ml,https://www.yamibuy.com/en/p/bawangsi-soda-pear-flavor-glass-bottle/1020039661,BAWANGSI,10,,,$1.49,$1.79,10,,China,4.4
"Calpis Concentrate Pear, 450g",https://www.yamibuy.com/en/p/asahi-calpis-concentrate-la-france-450g/1020045671,ASAHI,3,$5.99,,,,3,,Japan,5
Herbal Tea 310ml,https://www.yamibuy.com/en/p/wanglaoji-herbal-tea-310ml/1020005371,WANGLAOJI,6,$1.19,,,,6,China,China,4.8
Hong Kong Style Dessert Poplar Nectar Original 330ml,https://www.yamibuy.com/en/p/hong-kong-style-dessert-poplar-nectar-original-330ml/1147008351,DULIYOUHUO,5,$3.99,,,,5,,China,4.4
